P36147,118.885672
P04173,526293.1126
P28272,265777.6885
P33336,123.3493551
P38217,65902.21249
P53755,45.47591423
P36160,57498.61397
P05150,1037.035477
P40358,30181.39607
P16474,174630.5479
P07269,10336.0037
P32332,709.4706354
Q07651,164.6220604
P19657,6207.304762
P25654,32557.75777
Q08285,33522.67128
Q04170,41212.98419
P53630,308.0756124
P48360,9523.95493
Q06677,11321.05164
P22133,22932.85185
P41277,575847.6486
P00815,7697.896602
Q08685,11529.55634
P32864,1061.879539
P39984,30394.94564
P36520,710.5889321
P20051,36745.86062
P22768,5117.102667
P25358,1571.521384
P06115,1338.486144
P41911,50210.1328
P36007,1230.251222
P38892,6286.60817
Q03103,20912.14215
P38695,214.5489559
P53043,1224.782199
P36049,75803.59057
P17967,121426.0826
Q03558,96226.97221
Q12166,1619.56936
P07264,9831.702814
P16965,97200.0055
Q12454,256.2831208
sp|P05067|A4_HUMAN,0.0
Q07716,19436.44046
P38765,1873.740457
P38631,1044.952786
Q08045,17071.64037
Q07729,3344.211158
Q08224,12305.07626
Q08975,4891.50011
Q06490,6869.33869
P12630,50.04928886
P39522,14494.06902
P53326,590.9669588
P38066,18556.92401
P41835,5643.66673
P50861,36277.48507
P53040,1319.766853
P31787,430755.5856
Q04600,18668.11636
Q04728,5590.916202
P50277,396.5892054
P36016,20890.86273
Q05015,1022.050417
Q06408,1188.588986
P10127,530.2553548
Q12306,60141.28876
P43558,6620.788584
Q01476,689.4779422
P38130,17673.88313
P38629,29952.35202
P38773,12947.59733
P49095,3252.965904
P29952,39462.51859
P00498,8482.163298
P07172,2822.176088
Q04438,609.742629
P39518,427.6377257
Q08225,21819.1884
P19145,593.6900466
P40483,12003.61629
Q01217,3583.800784
Q06252,28131.44511
P32643,2297.345312
Q06449,9037.145633
P38891,11825.32999
P18411,838.7450349
Q12466,2287.482053
P20107,2351.115358
P23285,13084.91143
P38841,8946.279508
Q99369,1034.743913
P32463,6996.767871
P36040,7379.728717
P36013,2554.149251
Q12692,82972.80412
P38143,23784.75962
P47164,896.7623255
Q07688,28203.15826
P06168,51229.68892
P22855,4360.702481
P32908,1477.861947
Q12154,40476.49413
P53078,571.7347224
P18544,3555.733042
P36017,40192.22444
P53733,10454.24154
P15565,3512.226494
P14843,6452.541968
P34760,423778.7084
Q04120,17843.52988
P38079,936.4195584
P29029,2057.865835
O43137,57826.44774
P04076,6743.070043
Q12680,3966.369084
P32334,897.5751936
P23180,16105.85614
P05738,24937.31799
P03965,11992.20381
P07143,2633.788308
P38009,20658.60811
P17898,1026.696662
P53112,473.20336
P14120,19967.36162
P36516,2000.524203
Q03148,1259.6466
Q12453,630.2932877
P53893,1382.589583
P42939,6164.131953
P14922,22622.30359
P40008,35133.80067
P41056,21131.52588
P40047,4431.008113
P33421,2515.947651
P38634,410.3048824
P25491,86013.03238
P30605,2739.629911
P25626,908.5485776
P40054,4215.731326
Q12189,2820.511986
Q12443,1772.130607
P48570,9636.856778
P47148,834.9491046
P07262,29046.26751
P53008,1715.383596
Q06678,1911.714253
P53189,1183.63543
P00045,841.8814894
P47096,2228.799839
P35180,2613.587105
P32589,132885.3617
P41338,46845.87033
P32895,13130.05509
YBR009C,11450.25748
P10962,922.1639537
P38972,19380.24412
P39939,44256.9553
P38256,1939.117857
P29704,6253.062691
Q02805,745.909236
P53600,48059.87145
Q02950,1444.583521
Q05905,32973.40884
P37267,563.7090682
P25586,3071.973111
P36519,1888.833177
P32795,1996.595834
P36135,1460.595265
P38840,1714.513116
Q07362,27281.94463
P40312,8589.294209
P20049,16759.89477
P07342,14171.77959
Q06440,3247.394708
Q99297,3692.86358
P37303,15839.78335
P38988,4712.160244
Q06508,990.9245556
P32350,688.331499
