Protein name,Simulation abundance,Average degree,Average free proteins
P62962,904,2.5354534161490685,331.0
Q3TIV5,272,0.1580135440180587,248.66666666666666
P13439,171,2.2740977615349474,56.333333333333336
Q9D6Z1,431,3.581074366477116,20.0
Q99PV0,330,3.7948488742387845,49.0
G5E829,61,0.1443850267379679,54.666666666666664
Q9JJK2,317,1.182543906333156,187.0
Q8BK35,458,0.26515151515151514,388.0
P15116,666,2.91074181414565,321.0
P56959,434,0.04377880184331797,415.0
Q9D304,348,1.1334987593052108,207.0
P14576,310,13.942466811311734,1.3333333333333333
P97432,268,0.7125103562551781,189.66666666666666
Q5XJE5,82,0.23137254901960785,67.33333333333333
Q6ZWU9,770,1.4293794709698886,316.3333333333333
Q8K310,573,0.08911449520586577,538.3333333333334
Q3UKJ7,221,12.308919633685223,0.6666666666666666
Q9CQV8,530,2.713550361713968,372.3333333333333
B2RQC6,224,16.98445212829379,2.0
A2ANY6,67,14.708915285210807,2.0
Q8K268,299,3.48780333269974,17.0
P97765,233,0.1346938775510204,212.0
P26450,135,2.5008319467554077,65.33333333333333
P42932,806,0.3520164046479836,632.0
Q8R0Y6,1912,3.8318119157833705,24.666666666666668
Q922R8,709,0.03225806451612903,690.0
Q80U70,55,0.2138728323699422,49.333333333333336
P20029,1548,3.0723412192619763,544.3333333333334
Q05915,168,0.08365019011406843,160.66666666666666
Q8C1B7,202,0.9288617886178862,140.66666666666666
Q3UVL4,266,2.039446366782007,107.33333333333333
P42337,64,0.020833333333333332,62.666666666666664
O89112,658,1.4087620578778135,286.0
Q61233,767,7.751860445131907,0.0
Q61235,356,3.5726648617288728,14.333333333333334
Q9R0P3,337,1.002379535990482,208.0
Q8BGQ7,468,4.170690656995732,16.0
Q9D5T0,112,2.05452946350044,53.0
Q8CGA0,160,0.14671814671814673,147.33333333333334
P68181,112,0.05952380952380952,105.33333333333333
Q6Y7W8,137,0.8078175895765473,105.33333333333333
P62908,1396,0.795457812275406,1192.3333333333333
