Protein name,Simulation abundance,Average degree,Average free proteins
P12236,1992,0.0,1992.0
P12235,2834,0.29507066528783177,2183.0
O00567,51,0.18867924528301888,47.0
Q96J02,41,0.07317073170731707,38.0
Q8NF37,54,0.0,54.0
Q9UBC2,153,0.0,153.0
Q9UP95,53,0.0,53.0
P50148,63,0.031746031746031744,61.0
P01024,721,0.04854368932038835,686.0
P61201,237,0.6818181818181818,165.0
Q38SD2,39,0.1282051282051282,34.0
Q14166,126,0.0,126.0
Q6P0Q8,59,0.06779661016949153,55.0
Q9Y2A7,109,0.39166666666666666,83.0
Q8IVT5,58,0.017241379310344827,57.0
P34931,130,0.023076923076923078,127.0
P34932,334,3.087078915266961,4.0
P51149,784,0.021683673469387755,767.0
P51148,329,0.0,329.0
P09110,339,0.0,339.0
Q15293,132,0.0,132.0
Q5T2W1,54,0.0,54.0
Q9NVD7,406,0.12745098039215685,360.0
P55265,50,0.06,47.0
P10412,176,0.5339805825242718,144.0
P06702,506,0.30115830115830117,382.0
P30050,594,0.010101010101010102,588.0
Q9UL18,93,0.07526881720430108,86.0
P11940,214,6.948199477450869,0.0
P35998,401,6.913338088445078,20.0
O95140,314,0.041401273885350316,301.0
O00151,895,1.9416062149508668,210.0
Q86UE4,115,0.0,115.0
P51151,193,0.325,149.0
P38117,1702,0.19036427732079905,1378.0
Q9NNW7,333,0.05105105105105105,316.0
P13611,102,0.029411764705882353,99.0
Q15464,79,0.14814814814814814,73.0
P15559,74,0.0,74.0
P51813,47,0.4375,29.0
Q92890,243,0.32936507936507936,183.0
Q14999,30,0.1,27.0
Q8WUM0,36,0.0,36.0
Q92994,48,0.0,48.0
Q06187,94,0.19791666666666666,81.0
P02787,1151,0.09280138768430182,1046.0
Q15019,368,0.19839142091152814,309.0
Q10567,161,4.810594394825993,3.0
P02788,147,0.02040816326530612,144.0
Q9BTV4,238,0.0,238.0
P45974,242,0.0,242.0
O75643,83,4.22007722007722,14.0
O15143,129,4.807570977917981,12.0
O15144,222,0.6538461538461539,118.0
O15145,182,0.16483516483516483,152.0
Q9Y266,94,0.0,94.0
Q9Y265,324,3.3606927710843375,26.0
O15294,85,2.371794871794872,60.0
Q9Y263,212,0.19158878504672897,177.0
Q9Y262,175,2.198142414860681,123.0
Q08211,193,5.242342342342343,42.0
Q9Y512,810,0.0,810.0
Q01518,343,0.32011331444759206,252.0
P09661,205,0.09223300970873786,189.0
Q9NZM1,76,0.0,76.0
Q8TAT6,166,1.347457627118644,78.0
P08246,189,0.24867724867724866,142.0
P62136,555,2.233790523690773,287.0
P21589,104,0.0,104.0
Q7L523,152,0.18181818181818182,130.0
P02671,692,0.49931787175989084,455.0
P08648,86,0.16279069767441862,72.0
P02675,885,0.11299435028248588,785.0
O95819,35,0.0,35.0
O95817,493,3.0674623767514273,174.0
Q92945,160,0.29518072289156627,125.0
P78527,91,3.336734693877551,41.0
Q9H9A6,100,0.0,100.0
Q99798,1954,0.0,1954.0
Q13148,138,0.15827338129496402,119.0
P08195,50,0.08,46.0
O43776,275,0.0,275.0
P10155,159,0.025157232704402517,155.0
P52788,203,0.0,203.0
P46736,119,0.11666666666666667,108.0
P35573,458,0.0,458.0
P10398,50,3.686635944700461,9.0
Q9Y3C8,247,0.032388663967611336,239.0
P62888,502,0.0,502.0
Q8IUD2,36,0.35135135135135137,26.0
Q05519,56,0.0,56.0
Q58FF7,446,0.0,446.0
Q96SB3,62,0.08064516129032258,57.0
Q8TAQ2,51,2.0185185185185186,22.0
Q15907,606,0.0,606.0
P78559,24,0.08333333333333333,22.0
O43175,95,0.0,95.0
Q14457,81,0.024691358024691357,79.0
O60716,163,0.9567307692307693,103.0
Q8N5C6,39,0.0,39.0
Q9H074,169,0.08670520231213873,158.0
O75306,995,0.22613065326633167,770.0
O75146,53,0.2037037037037037,45.0
Q13098,259,0.7080745341614907,188.0
Q9NPL8,378,0.0,378.0
P26599,181,1.3985507246376812,100.0
O14964,63,5.698837209302326,1.0
O43399,494,0.012145748987854251,488.0
O43396,404,0.5261904761904762,199.0
O43395,47,1.1911764705882353,27.0
Q9NRW7,88,0.07954545454545454,81.0
O43390,213,0.29333333333333333,185.0
P12956,416,1.2454394693200663,218.0
Q13326,527,0.2314990512333966,405.0
P54652,397,0.0,397.0
P09874,201,1.9585798816568047,84.0
P23528,1105,2.0497393570807994,461.0
Q9BQA1,136,0.058823529411764705,128.0
Q9Y5U9,413,0.0,413.0
Q00839,290,0.5611940298507463,215.0
P11388,44,4.038043478260869,3.0
Q6P1L8,179,0.0,179.0
Q96FN4,175,0.0,175.0
P82650,280,0.0,280.0
P19174,48,1.75,23.0
Q14694,62,0.016129032258064516,61.0
P26006,38,0.9333333333333333,21.0
P40818,36,3.070588235294118,14.0
Q6P2Q9,43,2.287128712871287,10.0
P21802,43,0.046511627906976744,41.0
P36507,231,0.2816326530612245,202.0
Q8IXI1,166,0.0,166.0
Q8WXX5,75,0.0,75.0
Q16695,181,0.10869565217391304,166.0
Q9UBV8,106,0.05660377358490566,100.0
O14818,589,6.609559077868435,87.0
P36873,96,3.7208413001912044,13.0
Q9NU22,16,0.0,16.0
Q9UPT5,64,0.13636363636363635,61.0
Q96HY6,154,0.03896103896103896,148.0
Q9P2Y5,47,0.02127659574468085,46.0
P63279,307,1.41991341991342,164.0
Q9UBV2,44,0.0,44.0
P11117,145,0.0,145.0
P15170,123,0.10569105691056911,110.0
Q8WXF1,152,0.03289473684210526,147.0
Q13555,52,0.07692307692307693,48.0
Q13554,365,0.0410958904109589,350.0
O95721,153,0.0718954248366013,142.0
Q96GD0,231,0.0,231.0
P06576,3110,0.1913783635365184,2945.0
P22694,129,3.808488612836439,29.0
P60900,635,7.340738340060693,66.0
P60903,728,0.26370757180156656,564.0
P62258,1223,4.2304924278869285,377.0
P62256,128,0.0,128.0
P62253,162,0.0,162.0
Q9H0B6,86,4.805486284289277,30.0
P54577,93,0.0,93.0
Q9NR77,124,0.04838709677419355,118.0
Q9HB71,213,1.4234234234234233,93.0
Q13885,425,0.0,425.0
Q13884,108,0.3090909090909091,80.0
O00148,144,0.020833333333333332,141.0
P02760,612,0.0915032679738562,556.0
Q13111,56,1.5154639175257731,32.0
P48643,373,0.7889908256880734,194.0
P55010,249,0.10040160642570281,224.0
P51553,608,0.13322368421052633,527.0
Q02447,45,0.044444444444444446,43.0
P50213,915,0.23218142548596113,733.0
P18428,226,0.008849557522123894,224.0
Q9Y2R9,291,0.0,291.0
Q9UK80,52,0.057692307692307696,49.0
P30049,1024,0.0,1024.0
P30048,1412,0.0,1412.0
Q9NVE7,222,0.0,222.0
P30041,1441,0.0,1441.0
P30043,995,0.0,995.0
O14558,1453,0.11178451178451178,1319.0
Q12933,135,1.188235294117647,58.0
Q12931,393,0.010178117048346057,389.0
Q9Y678,156,0.14102564102564102,134.0
P55789,120,0.05,114.0
P55786,433,0.0,433.0
Q9Y676,240,0.03333333333333333,232.0
P37837,563,0.0,563.0
Q12830,39,0.05128205128205128,37.0
Q9UBB4,80,0.0,80.0
Q9UP83,43,0.023255813953488372,42.0
Q9NP79,123,0.04065040650406504,118.0
P13667,241,0.04564315352697095,230.0
P62879,482,0.20781893004115226,393.0
P19784,91,2.4248704663212437,21.0
P62873,286,5.898559670781893,21.0
Q9UIG0,45,2.264367816091954,20.0
P62877,118,2.5462555066079293,65.0
P35968,33,0.17647058823529413,30.0
P62875,149,0.07947019867549669,143.0
Q15005,202,0.0,202.0
O00560,125,0.016,123.0
Q86WT6,77,0.03896103896103896,74.0
Q9UKG1,206,0.42424242424242425,175.0
Q9Y4Z0,105,0.4107142857142857,82.0
P39656,289,0.0,289.0
Q96S44,78,0.02564102564102564,76.0
Q9Y6M9,1077,0.0,1077.0
Q15642,70,0.11428571428571428,62.0
Q12846,187,2.1498637602179835,60.0
Q6VY07,80,0.13414634146341464,71.0
Q92575,109,0.11926605504587157,96.0
P18084,44,0.022727272727272728,43.0
Q9BZL1,315,0.012698412698412698,311.0
Q08209,208,1.5662650602409638,56.0
O75531,260,0.10727969348659004,235.0
P09651,459,3.9385758998435056,111.0
P31314,70,0.6511627906976745,60.0
P04229,226,0.05309734513274336,214.0
P68104,1145,2.8110863605209047,497.0
Q01581,54,0.0,54.0
Q9Y450,106,0.0,106.0
Q9Y320,141,0.0,141.0
P02686,124,0.0873015873015873,115.0
P02766,774,0.40526976160602257,520.0
P61978,693,3.949245400041348,203.0
Q13151,235,0.0,235.0
Q13155,208,0.20476190476190476,171.0
Q14192,1146,1.6757075471698113,577.0
Q14197,147,0.19727891156462585,118.0
Q96AJ9,116,0.034482758620689655,112.0
Q14202,100,0.0,100.0
Q14203,261,1.1285714285714286,113.0
Q14204,411,0.23459715639810427,341.0
P14868,345,2.121311475409836,100.0
P45984,84,0.23863636363636365,75.0
Q92843,90,0.1978021978021978,75.0
P47914,324,0.0,324.0
P68036,488,0.147117296222664,447.0
P10636,161,4.312220566318927,47.0
P68032,3837,0.0,3837.0
P07814,145,0.10344827586206896,130.0
Q06413,81,0.012345679012345678,80.0
P98164,18,0.3684210526315789,14.0
Q8IW19,55,0.423728813559322,42.0
P98160,811,0.3188405797101449,600.0
P22102,168,0.0,168.0
P14649,396,0.0,396.0
Q9H3Z4,152,0.0,152.0
Q8TCS8,255,0.0,255.0
Q13085,44,0.17777777777777778,39.0
P04049,68,10.022844089091947,1.0
P26583,303,0.056105610561056105,286.0
O43765,264,1.7463617463617465,141.0
Q02978,1332,0.0,1332.0
Q9UM00,155,0.0,155.0
Q02750,140,0.4266666666666667,114.0
O14958,1228,0.012214983713355049,1213.0
P08133,1061,0.26281453867660765,813.0
O14957,227,0.0,227.0
Q14738,121,0.6709677419354839,93.0
P60981,1088,0.0,1088.0
P54646,181,0.2620320855614973,150.0
Q99584,422,0.035545023696682464,407.0
Q9P0W2,69,0.014492753623188406,68.0
Q9NQC7,40,0.425,23.0
P46940,167,13.371115173674589,0.0
Q99747,210,0.06190476190476191,197.0
Q6PGP7,76,0.0,76.0
O43491,129,0.015503875968992248,127.0
O43493,115,0.0782608695652174,106.0
P27361,140,1.3350785340314135,96.0
P82664,285,0.0,285.0
O60262,301,0.16501650165016502,257.0
P82663,305,0.0,305.0
P61353,428,0.0,428.0
Q8IXJ6,63,0.015873015873015872,62.0
O14828,176,0.0,176.0
P38919,120,2.342857142857143,40.0
O95425,153,0.0,153.0
P62318,247,0.09561752988047809,231.0
Q13428,33,0.06060606060606061,31.0
P62316,317,1.051980198019802,217.0
Q13424,570,0.3630252100840336,425.0
P62312,361,0.2641509433962264,293.0
P62310,169,0.2914285714285714,138.0
P61758,335,0.18694362017804153,278.0
Q15796,81,1.0434782608695652,57.0
Q92625,53,0.3018867924528302,37.0
Q14847,227,0.039647577092511016,218.0
P30101,713,0.43178807947019865,497.0
Q01995,709,0.0,709.0
Q13526,386,4.199187492305798,68.0
O14733,60,0.05,57.0
Q9BUN8,77,0.3037974683544304,59.0
Q9H2G2,91,0.0,91.0
P09884,32,0.1875,26.0
P63316,1897,0.3036373220875066,1321.0
P51636,594,0.22780569514237856,467.0
P61586,734,1.3231046931407942,480.0
Q9NT62,69,0.11594202898550725,61.0
P10768,677,0.0,677.0
P84098,329,0.0972644376899696,297.0
P61224,549,0.0,549.0
Q96A35,83,0.0,83.0
Q96KP4,538,0.0,538.0
Q96KP1,57,0.017543859649122806,56.0
Q8TDN6,128,0.0,128.0
Q13630,138,0.0,138.0
P55060,232,0.7127272727272728,155.0
Q16611,148,1.0972972972972972,58.0
P00846,602,0.0,602.0
P53779,57,0.03508771929824561,55.0
P29590,59,1.5,30.0
O00487,121,0.2366412213740458,100.0
Q9UL12,58,0.0,58.0
O60869,144,0.0,144.0
P05141,730,0.05675675675675676,698.0
Q9UQ80,341,0.17415730337078653,296.0
P55209,300,0.0,300.0
P37802,558,0.0,558.0
O14548,402,0.0,402.0
Q9NQR4,527,0.0,527.0
Q9NQR1,63,0.3582089552238806,43.0
Q04837,455,0.0,455.0
Q9UBE0,94,0.0,94.0
P13671,121,0.01652892561983471,119.0
Q14141,117,0.1452991452991453,100.0
Q9NP81,264,0.0,264.0
P00533,79,9.16384778012685,0.0
P02452,391,0.18781725888324874,326.0
O00571,327,1.0623916811091854,212.0
P14866,349,1.8008474576271187,189.0
Q9C0B7,38,0.0,38.0
Q15075,91,0.22826086956521738,73.0
O14939,40,1.0408163265306123,20.0
Q9UKD2,78,0.0,78.0
P17600,48,0.10416666666666667,43.0
Q4G0N4,117,0.0,117.0
Q9BTC0,26,0.0,26.0
Q02818,178,0.02247191011235955,174.0
Q6L8Q7,123,0.0,123.0
O15126,67,0.014925373134328358,66.0
O15127,68,0.014705882352941176,67.0
Q8N9N7,113,0.0,113.0
Q15102,81,0.13580246913580246,70.0
Q8N2U0,380,0.0,380.0
Q9NUL7,53,0.0,53.0
P29597,36,0.24324324324324326,30.0
Q15758,55,0.0,55.0
Q9Y4P1,62,0.08064516129032258,57.0
Q9BXP5,82,0.036585365853658534,79.0
Q9P0V9,127,0.0,127.0
Q14498,120,0.058333333333333334,113.0
O43924,140,0.14285714285714285,120.0
P35080,319,0.078125,297.0
P68133,1104,0.8564102564102564,598.0
P24539,1773,0.20755781161872533,1405.0
P24534,397,0.4794520547945205,250.0
Q8WVM7,34,0.0,34.0
Q9Y333,331,0.37822349570200575,253.0
Q9UER7,46,4.052631578947368,10.0
Q8WVM8,206,0.009708737864077669,204.0
P10828,57,0.017543859649122806,56.0
O75494,104,0.46017699115044247,75.0
P35222,882,5.432469198181041,83.0
O95831,1059,0.37798306389530406,848.0
P08134,176,0.0,176.0
Q9UGJ0,187,0.07446808510638298,176.0
P54727,226,0.8525073746312685,184.0
Q9Y3A5,376,0.0,376.0
Q9Y3A3,214,4.723247232472325,72.0
P20701,36,0.08333333333333333,33.0
O75128,100,0.0,100.0
P98179,222,0.0,222.0
Q9H299,460,0.0,460.0
P15121,738,0.0,738.0
P54819,984,0.0,984.0
P98172,67,0.04477611940298507,64.0
Q14957,36,0.0,36.0
P05556,423,2.797872340425532,94.0
Q04760,511,0.0,511.0
P11274,34,0.2857142857142857,27.0
Q5SSJ5,211,0.0,211.0
P14672,305,0.17049180327868851,253.0
P46379,92,0.09782608695652174,83.0
Q01082,739,0.2023047375160051,683.0
Q01081,156,0.20121951219512196,143.0
P26373,529,0.11654135338345864,472.0
P00747,274,0.3776978417266187,181.0
P42704,524,0.0,524.0
O60783,212,0.0,212.0
O43719,89,1.6637931034482758,47.0
O60784,138,0.11428571428571428,124.0
O14949,1367,0.0,1367.0
P59998,405,0.1728395061728395,335.0
O15498,123,0.032520325203252036,119.0
P23508,43,0.16279069767441862,36.0
Q02218,1181,2.888385931897363,88.0
Q9UHL4,168,0.0,168.0
Q9NYM9,117,0.05128205128205128,111.0
P61088,675,0.3333333333333333,512.0
Q13185,221,3.877918885702581,39.0
P49257,330,0.0,330.0
Q99757,360,0.0,360.0
Q99755,74,0.0,74.0
Q9H9B4,507,0.0,507.0
Q99750,82,0.13414634146341464,71.0
Q71UI9,526,0.0,526.0
O94875,1080,0.6631629240324892,863.0
O94874,157,0.03184713375796178,152.0
P82673,152,0.0,152.0
Q9NQ50,83,0.0,83.0
P82675,178,0.0,178.0
P62314,320,0.423728813559322,260.0
P21926,216,0.47619047619047616,153.0
O14832,115,0.02608695652173913,112.0
P35221,617,2.8311790050920487,217.0
Q14258,69,0.22535211267605634,59.0
Q8IWA4,127,0.031496062992125984,123.0
Q15672,127,0.1297709923664122,118.0
Q8IXT5,38,0.0,38.0
P62308,245,0.1349206349206349,228.0
P62304,251,0.9367088607594937,184.0
P62306,324,0.30654761904761907,255.0
P63096,65,0.06153846153846154,61.0
Q16587,48,0.020833333333333332,47.0
P63098,188,1.1902834008097165,107.0
Q9Y4P3,58,0.0,58.0
Q9BRG1,286,0.013986013986013986,282.0
P30443,171,0.3389830508474576,131.0
P13861,507,1.219725343320849,386.0
Q9Y608,129,0.03875968992248062,124.0
Q9UJZ1,351,0.0,351.0
P16220,68,0.04411764705882353,65.0
