Protein name,Simulation abundance,Average degree,Average free proteins
P21941,240,0.008333333333333333,238.0
Q9NS69,508,0.08858267716535433,463.0
Q16891,670,0.013432835820895522,661.0
Q16890,71,1.1379310344827587,42.0
P12755,53,0.32142857142857145,46.0
P13489,595,0.05714285714285714,561.0
Q14839,263,1.3424317617866004,192.0
Q9HD33,285,0.0,285.0
O14745,260,1.840958605664488,116.0
O14744,325,2.2248150256118384,114.0
Q96I24,258,0.0,258.0
P22415,83,0.060240963855421686,78.0
P16444,50,0.04,48.0
P50402,439,1.7276867030965393,135.0
P10599,624,1.0451219512195122,187.0
Q5JTH9,94,0.0,94.0
Q96C03,48,0.08333333333333333,44.0
Q9P2P5,51,0.0,51.0
Q86WX3,86,0.0,86.0
Q969X5,355,0.0,355.0
O60830,262,0.011450381679389313,259.0
O60832,252,0.08333333333333333,231.0
Q9Y2V7,112,0.026785714285714284,109.0
Q12874,363,0.6134831460674157,232.0
Q9P0J0,819,0.04,792.0
Q8NBJ5,229,0.0,229.0
O75400,121,0.33858267716535434,88.0
P01023,333,0.6538461538461539,203.0
P17677,296,0.31891891891891894,252.0
Q13029,24,0.041666666666666664,23.0
Q13023,37,0.05405405405405406,35.0
P41212,80,0.2345679012345679,64.0
Q92974,184,2.3853904282115868,80.0
Q9H2P0,167,3.842214532871972,59.0
P56693,48,0.0,48.0
Q02447,75,0.47560975609756095,59.0
Q66LE6,66,0.12121212121212122,58.0
Q05397,164,5.313201035375323,35.0
Q14247,380,3.0399560922063666,118.0
Q14240,499,1.8906122448979592,341.0
Q14241,71,0.19718309859154928,57.0
Q8IWX8,152,0.05228758169934641,147.0
P24928,143,50.9601677148847,0.0
P19429,733,0.5816326530612245,430.0
P07858,460,0.2875,346.0
O94953,31,0.0,31.0
Q86YB8,80,0.1625,67.0
Q68E01,143,0.006993006993006993,142.0
Q9GZR7,84,0.0,84.0
Q16795,737,0.0,737.0
O14910,265,0.06792452830188679,247.0
P62280,776,2.0995839833593344,403.0
P25786,678,9.766004415011038,37.0
P25787,734,8.146977968490814,56.0
P49427,65,0.208955223880597,57.0
P25789,668,6.513402457757296,77.0
O60220,204,0.06372549019607843,191.0
Q8IZH2,34,0.0,34.0
P27448,74,4.983606557377049,9.0
P63220,860,0.14617169373549885,736.0
P11142,1173,4.429445953362698,101.0
O95777,584,0.0,584.0
Q13564,346,0.31351351351351353,266.0
Q13561,521,0.02495201535508637,508.0
O00203,162,0.0,162.0
Q9Y624,196,0.14427860696517414,178.0
O15297,41,0.52,30.0
Q12965,52,0.0,52.0
P60866,640,2.565968393972804,287.0
Q12962,103,0.1650485436893204,86.0
Q9UID3,131,0.0,131.0
Q9P253,85,0.20930232558139536,70.0
P62841,645,0.20454545454545456,539.0
Q96CW1,329,1.534621578099839,216.0
Q9Y6Y8,192,0.0,192.0
Q9UKV8,164,1.3224489795918368,87.0
Q9UKV3,196,1.4525745257452574,121.0
P35606,395,1.3572778827977316,141.0
P35609,1646,0.46551724137931033,1092.0
P42566,152,3.1019522776572668,71.0
P39060,329,0.24653739612188366,272.0
P78537,81,0.10975609756097561,75.0
P11908,181,0.03314917127071823,175.0
P78536,78,0.038461538461538464,75.0
P00403,874,0.0,874.0
Q05707,624,0.125,546.0
P52564,282,0.07746478873239436,262.0
P52565,785,0.4964871194379391,530.0
Q96HE7,251,0.43609022556390975,180.0
Q8TED0,63,0.0,63.0
P14635,49,2.6788990825688073,9.0
P07992,59,0.05084745762711865,56.0
P07996,259,0.1423076923076923,225.0
P07998,279,0.12186379928315412,245.0
O43592,125,0.7172413793103448,85.0
P40123,534,0.12359550561797752,468.0
Q8WUB8,64,0.0,64.0
Q86X55,144,0.0625,135.0
Q99558,33,2.3055555555555554,14.0
Q96RQ3,361,0.0,361.0
Q8N3U4,136,3.300791556728232,76.0
Q9NQP4,449,0.12249443207126949,394.0
P40692,73,2.8560794044665014,6.0
P33778,3104,0.0,3104.0
Q13177,371,1.720741599073001,212.0
P07339,475,0.08958333333333333,443.0
P61764,164,0.04878048780487805,156.0
P61769,456,0.06359649122807018,427.0
Q14814,90,0.07777777777777778,83.0
P10606,975,0.0,975.0
Q9HD15,116,0.0603448275862069,109.0
Q9NZI8,363,0.0,363.0
P62072,278,0.07194244604316546,258.0
O14763,49,0.04081632653061224,47.0
Q5JTJ3,238,0.0,238.0
Q9P2R7,410,0.0,410.0
Q6P3X3,49,0.0,49.0
P51153,283,0.038869257950530034,272.0
P51151,245,0.36507936507936506,174.0
Q9UMX0,201,1.8253968253968254,48.0
Q9UMX5,156,0.0,156.0
Q13797,167,0.14201183431952663,145.0
P18846,88,0.0,88.0
Q9Y478,184,0.2962962962962963,143.0
Q9NVU7,38,0.0,38.0
P02461,172,0.046511627906976744,164.0
P78406,264,0.678343949044586,191.0
P23142,390,0.3333333333333333,294.0
Q9Y3L3,117,0.008547008547008548,116.0
P17655,475,0.11368421052631579,421.0
Q9UM54,92,0.09782608695652174,83.0
P01042,236,0.13135593220338984,205.0
Q15029,431,3.030683847920388,11.0
Q15025,40,0.4186046511627907,31.0
Q15024,169,0.9320388349514563,124.0
O00541,92,2.891640866873065,8.0
Q15021,108,0.08333333333333333,99.0
Q15020,270,3.881159420289855,100.0
Q6PJ61,42,0.27906976744186046,33.0
Q15022,83,0.9071428571428571,55.0
Q86V81,542,0.4585365853658537,351.0
Q15052,102,0.21904761904761905,88.0
O15173,490,0.0,490.0
Q86V88,107,0.0,107.0
Q9Y4J8,169,0.8780487804878049,121.0
Q8TCG1,47,0.10638297872340426,42.0
Q9P1Z2,38,0.0,38.0
P34741,161,0.08074534161490683,148.0
Q8IY57,107,0.4523809523809524,83.0
Q9BVG9,78,0.0,78.0
P32745,50,0.0,50.0
Q99962,93,4.3461117196056955,9.0
Q99963,54,0.21428571428571427,48.0
Q99967,63,0.015873015873015872,62.0
P42224,248,3.52987644318412,2.0
P42226,110,1.7990654205607477,9.0
Q9UI47,463,0.17248459958932238,403.0
P04150,110,6.49896480331263,12.0
P04156,157,0.7536231884057971,119.0
O75688,174,0.41798941798941797,142.0
Q9H081,97,0.31683168316831684,77.0
P27348,977,5.490815439990071,151.0
Q8N6R0,54,0.0,54.0
Q9NUP9,240,0.03333333333333333,232.0
O14976,56,0.017857142857142856,55.0
Q9GZP9,129,0.15503875968992248,109.0
Q9H9A6,188,0.0,188.0
P49441,144,0.0,144.0
Q05519,179,0.0,179.0
Q9HCU5,142,0.0,142.0
P11387,241,4.03077975376197,37.0
P15313,78,0.05128205128205128,74.0
Q99497,1464,0.11033163265306123,1395.0
Q9UNA4,37,0.10810810810810811,33.0
Q13405,309,0.0,309.0
Q13404,634,0.12460567823343849,555.0
P05787,800,1.9047103410936654,429.0
P05783,879,2.10456679470764,454.0
P63208,463,3.4298100743187447,115.0
P11166,331,0.3590504451038576,216.0
Q13541,191,0.19170984455958548,160.0
Q13542,210,0.12380952380952381,184.0
Q13546,103,2.3161290322580643,46.0
Q13547,249,8.450406504065041,4.0
Q9NY93,43,0.20454545454545456,37.0
Q96J01,109,0.0,109.0
Q96J02,94,0.35051546391752575,69.0
P50148,271,0.3879598662207358,213.0
Q13895,118,0.0,118.0
Q8IY81,103,0.0,103.0
P37108,730,0.09863013698630137,658.0
P18433,112,0.3770491803278688,94.0
P21802,35,0.0,35.0
P10412,965,1.4860419822549231,698.0
O15061,161,0.055900621118012424,152.0
Q86XK2,33,0.9,22.0
Q86UE8,51,0.058823529411764705,48.0
P45877,332,0.0,332.0
P35998,518,7.634496469659537,14.0
Q86UE4,296,0.0,296.0
Q9NXH9,69,0.0,69.0
Q9UIF9,40,0.0,40.0
Q92890,310,0.4811594202898551,219.0
P02787,768,0.1969111969111969,638.0
P02786,425,0.13411764705882354,368.0
P02788,167,0.017964071856287425,164.0
O14497,119,1.8109243697478992,53.0
Q9NRR5,120,0.008333333333333333,119.0
P28370,137,0.0,137.0
Q92542,148,0.07333333333333333,143.0
Q92541,84,0.22988505747126436,75.0
Q92544,78,0.0,78.0
P20340,487,0.10633946830265849,437.0
Q9HAV0,191,0.45226130653266333,125.0
Q9HAV4,126,0.9757575757575757,58.0
Q96SB8,43,0.06976744186046512,40.0
Q96SB4,104,4.116192830655129,7.0
Q8N806,138,0.0,138.0
Q9H270,92,0.0967741935483871,86.0
Q14457,66,0.045454545454545456,63.0
Q8TEB1,61,0.35384615384615387,50.0
Q9Y3Q8,218,0.022935779816513763,213.0
Q8NEU8,124,0.0967741935483871,112.0
P26599,685,3.2536585365853656,246.0
Q99570,67,0.208955223880597,53.0
Q99575,45,0.0,45.0
Q9BQA1,209,0.2727272727272727,176.0
P82650,298,0.0,298.0
P40818,42,3.652173913043478,9.0
P36507,232,0.26337448559670784,193.0
Q8IXI1,232,0.0,232.0
P19367,756,0.22486772486772486,586.0
P05455,693,0.25680933852140075,573.0
Q2M1K9,28,0.3793103448275862,20.0
P15291,51,0.0,51.0
P50443,37,0.0,37.0
Q8IZD4,71,0.0,71.0
Q9UJX3,72,0.8235294117647058,49.0
Q96L34,37,0.1891891891891892,30.0
Q9NR77,227,0.04405286343612335,217.0
Q5BJH7,115,0.0,115.0
P84085,380,0.03684210526315789,366.0
Q96TC7,140,0.9865470852017937,93.0
Q5VIR6,137,0.014598540145985401,135.0
Q96KQ7,51,2.2155172413793105,29.0
Q96KQ4,31,0.3125,24.0
Q03164,28,0.0,28.0
Q6ZRP7,66,0.0,66.0
P13995,55,0.0,55.0
Q9Y2R9,292,0.0,292.0
P30049,871,0.0,871.0
P30048,1170,0.0,1170.0
Q8N8S7,262,0.1297709923664122,228.0
P30041,1268,0.0,1268.0
P30043,1130,0.0,1130.0
Q96EF6,60,0.7183098591549296,46.0
P55789,99,0.04040404040404041,95.0
P55786,469,0.0,469.0
P13667,692,0.04046242774566474,664.0
Q15005,463,0.0,463.0
O00567,456,0.37398373983739835,352.0
O00560,245,0.08163265306122448,225.0
Q15008,394,3.395428302109108,18.0
Q96S44,142,0.007042253521126761,141.0
Q9BTW9,176,0.045454545454545456,168.0
O75582,36,0.16216216216216217,33.0
Q9Y450,160,0.0,160.0
Q5BKZ1,150,0.0,150.0
Q92934,176,6.229973538609574,21.0
Q96AJ9,95,0.021052631578947368,93.0
Q14202,55,0.0,55.0
Q14203,324,1.7496012759170654,126.0
Q14204,520,0.35765124555160144,401.0
P00338,1415,0.40950639853747717,1029.0
Q9Y4H2,41,5.424749163879599,7.0
P47914,475,0.0,475.0
P68036,669,0.4347240915208614,514.0
Q8WXI9,182,1.1844262295081966,110.0
P68032,1639,0.0,1639.0
P07814,337,0.2316715542521994,270.0
O43164,38,0.02631578947368421,37.0
O43166,48,0.0,48.0
P19174,107,5.30278232405892,29.0
Q9H3Z4,102,0.0,102.0
O94992,130,0.07633587786259542,123.0
O14958,869,0.014959723820483314,856.0
O14957,187,0.0,187.0
Q9H9C1,45,0.06666666666666667,42.0
P31483,236,0.0,236.0
P27361,300,1.7836166924265842,163.0
O60262,302,0.6129032258064516,232.0
P61353,607,0.0,607.0
P29474,29,0.8888888888888888,16.0
Q15648,58,0.3114754098360656,48.0
Q15645,97,0.0,97.0
Q15643,32,0.0,32.0
Q15642,192,0.3409090909090909,145.0
Q13428,137,0.14893617021276595,124.0
Q13427,102,0.18867924528301888,86.0
Q13426,77,0.07792207792207792,71.0
Q13425,235,0.18106995884773663,211.0
Q13424,432,0.6604414261460102,338.0
Q13423,735,0.0,735.0
O95487,153,0.045454545454545456,149.0
O95486,93,0.0,93.0
Q15797,105,0.49572649572649574,83.0
Q96GG9,151,1.4,94.0
Q13526,537,4.090119485294117,41.0
Q15413,14,0.0,14.0
P48730,85,0.08235294117647059,78.0
Q8NHP8,72,0.0,72.0
Q9NWX6,81,0.0,81.0
Q9NT62,178,0.23626373626373626,149.0
Q7L590,34,3.3043478260869565,16.0
Q7L2E3,113,2.1639871382636655,72.0
Q14999,65,0.29411764705882354,50.0
Q9BYW2,20,0.0,20.0
P51784,102,0.2830188679245283,80.0
P15336,92,0.9152542372881356,58.0
Q9UQ88,117,0.15833333333333333,103.0
Q9UQ80,604,0.5789473684210527,450.0
Q9NQR4,377,0.0,377.0
P29372,144,0.2108843537414966,118.0
P29374,49,0.08163265306122448,45.0
Q12929,61,0.15873015873015872,57.0
Q86XI2,29,0.06896551724137931,27.0
Q9UBE0,332,0.09036144578313253,302.0
Q9C000,26,0.038461538461538464,25.0
Q9C005,570,0.012237762237762238,565.0
Q969S3,65,0.0,65.0
Q4G0N4,272,0.0,272.0
Q8TAD4,52,0.0,52.0
Q9H1K0,62,0.25806451612903225,46.0
Q8N9N7,173,0.0,173.0
P29590,184,4.803220035778176,64.0
Q09472,21,6.856209150326797,0.0
Q09470,45,0.022222222222222223,44.0
Q9P2I0,152,0.09868421052631579,137.0
Q01664,54,0.0,54.0
Q9Y6D6,88,0.056818181818181816,83.0
Q9Y6D9,111,0.13392857142857142,99.0
P08138,123,0.0967741935483871,114.0
P08134,260,0.0,260.0
P08133,1304,0.07886676875957122,1207.0
P54727,313,1.0368217054263567,241.0
Q96QU8,30,0.59375,17.0
P54252,105,0.9307692307692308,67.0
P54253,51,3.096296296296296,9.0
Q9H299,513,0.0,513.0
P54257,39,0.05128205128205128,37.0
P54259,52,0.07692307692307693,48.0
P05556,556,4.121194029850746,86.0
P14678,562,2.5115355521936458,271.0
P14672,112,0.125,98.0
Q01082,891,1.037203335471456,722.0
Q01081,373,0.790224032586558,287.0
P59998,699,0.268188302425107,513.0
Q02218,530,2.5361869895803997,75.0
Q99590,74,0.11842105263157894,67.0
Q99593,63,0.015873015873015872,62.0
P82673,193,0.0,193.0
P82675,169,0.0,169.0
P21926,212,0.4868421052631579,147.0
P16615,969,0.1363173957273652,865.0
O43447,353,0.17468354430379746,326.0
Q9NX70,74,0.24,59.0
P62308,418,0.7843511450381679,311.0
P62304,790,2.6830222757375077,387.0
P62306,650,1.756797583081571,384.0
Q9UEW8,236,0.07563025210084033,220.0
Q9BRG1,439,0.04100227790432802,421.0
Q8NI36,47,0.0,47.0
O14727,49,2.6907894736842106,13.0
Q9UJZ1,418,0.0,418.0
Q9NVD7,450,0.15521064301552107,383.0
Q8IXK0,79,0.0759493670886076,73.0
Q96DZ1,65,0.0,65.0
P55265,192,0.109375,171.0
Q9NR56,148,0.13333333333333333,130.0
Q9NR50,213,0.08878504672897196,197.0
Q15459,367,0.7210884353741497,249.0
Q07157,315,7.538749245928011,0.0
Q15061,68,0.0,68.0
P55854,99,0.26732673267326734,78.0
P17612,544,4.509062466285467,13.0
O00584,153,0.0,153.0
Q9UM13,73,0.0136986301369863,72.0
Q9NP66,53,0.30357142857142855,41.0
Q7L014,197,0.09595959595959595,181.0
Q92917,94,0.06315789473684211,91.0
P51991,1039,0.0,1039.0
Q8NBS9,459,0.0,459.0
P04114,144,1.3979591836734695,46.0
P15927,424,1.6611796982167353,140.0
P15924,467,0.14225053078556263,404.0
P53041,361,8.745505765511973,0.0
P36543,256,0.14785992217898833,221.0
Q8IXM3,244,0.0,244.0
Q8WWY3,291,0.49866666666666665,256.0
Q8TCC3,136,0.0,136.0
Q9BXJ9,215,0.0,215.0
O43639,126,1.8849206349206349,65.0
O43143,461,0.0455531453362256,440.0
O43633,234,0.19747899159663865,195.0
Q92667,128,0.4782608695652174,88.0
Q96LR5,124,0.0,124.0
P53597,550,0.0,550.0
Q05086,199,1.4870129870129871,90.0
Q9BSL1,112,0.0,112.0
Q9GZT3,544,0.0,544.0
Q9GZT9,158,0.09375,145.0
Q9GZT8,188,0.0,188.0
Q8WYQ5,52,0.0,52.0
Q6P161,147,0.0,147.0
O60244,27,0.07407407407407407,25.0
Q9H9E3,88,0.20224719101123595,73.0
Q8IWV8,34,0.0,34.0
Q9BYG5,74,0.6818181818181818,54.0
Q9UHQ9,484,0.0,484.0
P26038,999,0.2529296875,797.0
Q99436,321,9.881001594519578,16.0
P63241,1133,0.20851433536055602,927.0
P63244,917,5.131895014015119,118.0
Q13443,50,0.04,48.0
Q99439,420,0.0,420.0
Q96GA3,46,0.0,46.0
Q15596,27,0.6470588235294118,22.0
Q15599,259,3.9769641495041954,16.0
Q13509,964,1.1612200435729847,352.0
Q13505,236,0.0,236.0
Q13507,34,0.0,34.0
Q13501,162,4.6133812303547375,3.0
P12694,350,0.06285714285714286,328.0
Q7L576,224,0.049107142857142856,213.0
Q9UQE7,330,2.9656607700312176,185.0
P78324,79,0.0,79.0
P48637,264,0.0,264.0
P29558,101,0.0,101.0
P15311,742,0.7846674182638106,435.0
Q16625,62,0.14285714285714285,56.0
Q16629,582,0.00859106529209622,577.0
P29353,85,4.992042440318302,31.0
P29350,71,1.305263157894737,47.0
Q12907,406,0.0,406.0
Q12906,627,3.6175322139789143,295.0
Q12905,750,2.863368925691872,431.0
Q12904,465,0.1858974358974359,387.0
Q969Q1,409,0.6997929606625258,249.0
Q5TBB1,128,0.0,128.0
Q7Z4G1,327,0.039755351681957186,314.0
P11216,1125,0.0,1125.0
Q06330,91,0.20652173913043478,75.0
P49903,314,0.0,314.0
Q86TM6,41,0.37209302325581395,31.0
Q07812,493,2.692056583242655,162.0
Q07817,94,3.1875,20.0
Q6P1K2,99,0.09090909090909091,90.0
Q9Y6M1,379,0.0,379.0
Q14BN4,375,3.378031781432952,184.0
Q9P2K5,146,0.0,146.0
Q9P2K3,111,0.49606299212598426,94.0
O75909,60,0.296875,55.0
Q14008,206,0.10194174757281553,185.0
Q15388,118,0.3474576271186441,77.0
